CODE_UIC,LIBELLE,COMMUNE,DEPARTEMENT,ECRAN_INFO_GARE,PRESENCE_PERSONNEL,INFO_SONORE_GARE,BANDE_EVEIL_VIGILANCE,ACCES_ASCENSEUR_RAMPE,TOILETTES,BOUCLE_INDUCTION_MAGNETIQUE,TOILETTES_ACCESSIBLE,ASSISTANCE_ACCES_QUAIS,FAUTEUIL_ROULANT_DISPONIBLE,Service Wifi,Assistance simple,Rampe,Fauteuil,Rampe et  fauteuil,GEO_POINT,ArTAccessibility,ArTAudibleSignals,ArTVisualSigns,Has_Bike_Parking_Within_250m,Has_Bike_Parking_Within_500m,accessibility_level_id,access_gare ou arrêt non accessible,access_train accessible sur demande auprès d'un agent en station,access_train accessible sur réservation préalable auprès du service AssistenGare,access_véhicule accessible en toute autonomie
87382218,La Défense,PUTEAUX,HAUTS-DE-SEINE,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,Oui,4.0,19.0,0.0,0.0,"48.89343723768303, 2.2384716845345984",aucune donnée,aucune donnée,aucune donnée,Non,Non,,Aucune donnée,Aucune donnée,Aucune donnée,Aucune donnée
87545210,Ste-Geneviève-des-Bois,SAINTE-GENEVIEVE-DES-BOIS,ESSONNE,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,Non,1.0,0.0,0.0,0.0,"48.652126468757295, 2.3113492686507175",aucune donnée,aucune donnée,aucune donnée,Oui,Oui,,Aucune donnée,Aucune donnée,Aucune donnée,Aucune donnée
87393306,Issy-Val-de-Seine,ISSY-LES-MOULINEAUX,HAUTS-DE-SEINE,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,Oui,2.0,1.0,0.0,0.0,"48.82920627263119, 2.2630615484527388",Oui,aucune donnée,aucune donnée,Oui,Oui,,Aucune donnée,Aucune donnée,Aucune donnée,Aucune donnée
87725457,Champlan,CHAMPLAN,ESSONNE,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,,,,,"48.70929064715795, 2.279341221911651",aucune donnée,aucune donnée,aucune donnée,Oui,Oui,,Aucune donnée,Aucune donnée,Aucune donnée,Aucune donnée
87681825,Villeneuve-St-Georges,VILLENEUVE-SAINT-GEORGES,VAL-DE-MARNE,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,Oui,2.0,0.0,0.0,0.0,"48.73143575161089, 2.4463789413393155",aucune donnée,aucune donnée,aucune donnée,Oui,Oui,,Aucune donnée,Aucune donnée,Aucune donnée,Aucune donnée
87381178,Us,US,VAL-D'OISE,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,Non,0.0,0.0,0.0,0.0,"49.09957530900886, 1.970571442485531",aucune donnée,aucune donnée,aucune donnée,Non,Non,1.0,Oui,Non,Non,Non
87381418,Éragny-Neuville,ERAGNY,VAL-D'OISE,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,Non,0.0,0.0,0.0,0.0,"49.01807541542063, 2.0906934411196643",Oui,aucune donnée,aucune donnée,Non,Non,1.0,Oui,Non,Non,Non
87682401,Livry-sur-Seine,LIVRY-SUR-SEINE,SEINE-ET-MARNE,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,Non,,,,,"48.510372898715616, 2.678950684970235",Oui,aucune donnée,aucune donnée,Non,Non,1.0,Oui,Non,Non,Non
87681510,Buno-Gironville,BUNO-BONNEVAUX,ESSONNE,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,Non,,,,,"48.370331373303955, 2.38700758656232",Non,Oui,Oui,Oui,Oui,,Aucune donnée,Aucune donnée,Aucune donnée,Aucune donnée
87682153,Lieusaint-Moissy,LIEUSAINT,SEINE-ET-MARNE,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,aucune donnée,Oui,2.0,0.0,0.0,0.0,"48.6298605860807, 2.5694456319191965",aucune donnée,aucune donnée,aucune donnée,Oui,Oui,,Aucune donnée,Aucune donnée,Aucune donnée,Aucune donnée
