name;line_id;station_id;Geo Shape;type;num_docks_available;is_installed;date_installed;price;price_navigo;web;project_owner;zdcld;zdcname;insee_code;municipality;x_long;y_lat;Geo Point;Column 45
ABLON;RER C;203;"{""coordinates"": [2.418386334, 48.72519841], ""type"": ""Point""}";abri;12;true;2020;;NC;NC;Département - Val-de-Marne;69554;Ablon;94001;Ablon-sur-Seine;2.418386334;48.72519841;48.72519841, 2.418386334;
ARGENTEUIL;TRAIN J;67;"{""coordinates"": [2.256876771, 48.94751081], ""type"": ""Point""}";consigne;78;true;2017;20 €;20 €;http://www.argenteuil-veligo.fr/;Argenteuil;65063;Argenteuil;95018;Argenteuil;2.256876771;48.94751081;48.94751081, 2.256876771;
AULNAY-SOUS-BOIS;RER B,TRAIN K,TRAM 4;68;"{""coordinates"": [2.495622461, 48.93142362], ""type"": ""Point""}";consigne;72;true;2021;0 €;0 €;https://www.aulnay-sous-bois.fr/ma-ville/transports-circulation-stationnement/velo/;Aulnay-sous-Bois;72646;Aulnay-sous-Bois;93005;Aulnay-sous-Bois;2.495622461;48.93142362;48.93142362, 2.495622461;
BALLANCOURT;RER D;1110;"{""coordinates"": [2.371405, 48.531953], ""type"": ""Point""}";abri;15;true;2024;;0 €;NC;SNCF;59825;Ballancourt;91045;Ballancourt-sur-Essonne;2.371405;48.531953;48.531953, 2.371405;
BALLANCOURT;RER D;1111;"{""coordinates"": [2.371405, 48.531953], ""type"": ""Point""}";consigne;15;true;2024;30 €;0 €;https://sncf-parking-velos.iledefrance-mobilites.fr;SNCF;59825;Ballancourt;91045;Ballancourt-sur-Essonne;2.371405;48.531953;48.531953, 2.371405;
BECON-LES-BRUYERES;TRAIN L;490;"{""coordinates"": [2.2691, 48.9059], ""type"": ""Point""}";consigne;40;true;2019;30 €;0 €;https://sncf-parking-velos.iledefrance-mobilites.fr;SNCF;72124;Bécon les Bruyères;92026;Courbevoie;2.2691;48.9059;48.9059, 2.2691;
BERAULT;METRO 1;71;"{""coordinates"": [2.427872534, 48.8454863], ""type"": ""Point""}";abri;10;true;2023;;NC;NC;RATP;71650;Bérault;94067;Saint-Mandé;2.427872534;48.8454863;48.8454863, 2.427872534;
BERAULT;METRO 1;612;"{""coordinates"": [2.4277526, 48.8456112], ""type"": ""Point""}";abri;12;true;2023;;NC;NC;RATP;71650;Bérault;94080;Vincennes;2.4277526;48.8456112;48.8456112, 2.4277526;
BESSANCOURT;TRAIN H;284;"{""coordinates"": [2.210246507, 49.03531127], ""type"": ""Point""}";abri;20;true;2019;;NC;NC;CA - Val Parisis;66672;Bessancourt;95060;Bessancourt;2.210246507;49.03531127;49.03531127, 2.210246507;
BESSANCOURT;TRAIN H;283;"{""coordinates"": [2.210246507, 49.03531127], ""type"": ""Point""}";consigne;28;true;2020;30 €;0 €;https://velo.valparisis.fr/;CA - Val Parisis;66672;Bessancourt;95060;Bessancourt;2.210246507;49.03531127;49.03531127, 2.210246507;
BOIS-LE-ROI;TRAIN R;631;"{""coordinates"": [2.691317, 48.475701], ""type"": ""Point""}";abri;72;true;2024;;NC;NC;SNCF;61727;Bois-le-Roi;77037;Bois-le-Roi;2.691317;48.475701;48.475701, 2.691317;
BOUFFEMONT - MOISSELLES;TRAIN H;1132;"{""coordinates"": [2.32249, 49.04524], ""type"": ""Point""}";abri;20;true;2024;;NC;NC;SNCF;66795;Bouffémont - Moisselles;95091;Bouffémont;2.32249;49.04524;49.04524, 2.32249;
BOURG-LA-REINE;RER B;565;"{""coordinates"": [2.313081, 48.780494], ""type"": ""Point""}";abri;84;true;2022;;NC;NC;EPT - Vallée Sud Grand Paris;70033;Bourg-la-Reine;92014;Bourg-la-Reine;2.313081;48.780494;48.780494, 2.313081;
BRY-SUR-MARNE;RER A;154;"{""coordinates"": [2.526140615, 48.84441298], ""type"": ""Point""}";abri;28;true;2023;;NC;NC;RATP;73166;Bry-sur-Marne;94015;Bry-sur-Marne;2.526140615;48.84441298;48.84441298, 2.526140615;
BUNO-GIRONVILLE;RER D;923;"{""coordinates"": [2.387014, 48.36996], ""type"": ""Point""}";abri;20;true;2024;;NC;NC;SNCF;59447;Buno - Gironville;91121;Buno-Bonnevaux;2.387014;48.36996;48.36996, 2.387014;
CESSON;RER D;82;"{""coordinates"": [2.593682903, 48.56540068], ""type"": ""Point""}";consigne;40;true;2015;30 €;0 €;https://idf-mobilites.fr/senart-parking-velos;IDFM;62176;Cesson;77067;Cesson;2.593682903;48.56540068;48.56540068, 2.593682903;
