Nom;Code gare;Position Géographique;Localisation;Etat de fonctionnement;hauteur;adressesDNS;dateMiseEnService
ASC.PMR 5013 Salle d'échange<>Quai N (A08);a6433423-9738-42fd-a125-321b28d78e8a;;Salle d'échange<>Quai N (A08);OK;;;
ASC.PMR 3534 Quai 25 Voies 2/E;be6f1fe7-371d-4ccd-bb43-8cdd39cf0804;;Quai 25 Voies 2/E;OK;;;
ascenseur - Quai 3 voie 1;18c8848e-1cea-4114-879d-f17b3a82e2e4;43.288498, 5.466677;Voie 1 / passerelle;OK;0.0;;2011-09-01T00:00:00
Ascenseur - Quai 2 Nord Voies 2/3;876acd6d-c67b-47fd-95ee-f2b13b33508e;;Voies 2-3;INCONNU;0.0;;2023-09-01T00:00:00
Ascenseur - quai 1 n°1470039;83f93cd5-5248-46ad-99a3-7d5d3c19f9f4;43.62947, 7.1343074;Voie 1 / souterrain;OK;0.0;;2015-06-01T00:00:00
ascenseur - quai 1;0861af25-9c27-41b6-bcd3-228ebb014c17;48.813503, 7.7823877;Voie A / passerelle;OK;0.0;;2017-08-01T00:00:00
ascenseur - Quai B;64efcf12-e3d6-4b82-813b-aa62cdb7810b;47.995476, 0.19174932;Voies 2 et 3 / Souterrain;OK;0.0;;2009-01-01T00:00:00
Ascenseur - quai 2 voies B-C;80c4a7a4-b9b5-4867-b5fd-07524ef841b9;;Voies B et C / Passerelle;OK;0.0;;2021-05-05T00:00:00
Ascenseur - Quai 2;9da4bd09-0909-4ba0-ac33-984cde420133;;Voie 2 / passerelle;OK;0.0;;
Ascenseur - n°11616903- quai central;412e30c3-8dbc-4463-adf6-f5b4299910d1;43.774506, 7.492863;Quai central / souterrain;OK;0.0;;
Ascenseur - Quai Voie A (BV) / N°mainteneur : SI378;a4310ddc-85de-4b8b-8338-d03cd4d746ef;;Voie A / passerelle;OK;0.0;;2021-09-29T00:00:00
Ascenseur - Côté rue de la Résistance;5c146efe-194c-4919-845b-40118158e6be;47.82225, -1.81822;Rue de la Résistance / souterrain;OK;0.0;;2015-11-16T00:00:00
ASC.PMR 5011 H.MOISSY;9b623721-7d43-430a-b83b-cb72ee7a20b6;;Sortie Moissy / passerelle;OK;;;
ascenseur - Magasin Grand Relais;70835097-e1ff-4138-86e1-4758ed173ed6;;Magasin Grand Relais;INCONNU;0.0;;2017-01-01T00:00:00
ASC.PMR 3543 Voie 1;d23dc573-61c1-49ea-a642-468070f03267;;Quai B;OK;;;
ascenseur - Quai 2;843c57bd-aa04-4613-97e5-b0a5ce575474;49.242237, 4.014122;Voie 2 / Passerelle;OK;0.0;;2009-01-02T00:00:00
ASC.PMR 3565 Q.MANT;61ecde54-8a6e-440c-8999-a45d6687d9a3;;Voie A / passerelle;KO;;;
Ascenseur - hall 2 - quai 18-19;db3c1d28-2b95-43df-ae9f-5418a778abe0;48.83954, 2.3178647;Milieu des voies 18 et 19 / Hall 2;OK;0.0;;1995-01-01T00:00:00
Ascenseur - Quai Voies C/E Sud;c209a3e2-d322-4281-8c2e-1ea5c6046c50;;Voies C et E Sud / hall;OK;0.0;;2020-08-11T00:00:00
Ascenseur - QUAI VOIE 2;86a82701-5515-49d7-9552-6aea4d631d31;;Voie 2 / passerelle;OK;0.0;;2023-03-30T00:00:00
ASC.PMR 2251 Voie 1;f43a07d2-1ffd-40a6-8df1-73cecee32f10;;Quai 2 / quai 1;OK;;;
ascenseur - voie 1;5200cd1a-ff56-4694-a250-117a6e77104c;45.034245, 0.35362843;Voie 1 / passerelle;OK;0.0;;2011-12-01T00:00:00
Ascenseur - côté BV / Quai  voie 2;a7fa4b39-18f7-47fa-8ec8-fad4f20d09d6;;Voie 2 / Passerelle;OK;0.0;;2024-04-16T00:00:00
Ascenseur - 3 - Parking;9525725e-3b2c-4d63-9fa9-236a4ae26fee;48.87614, 2.325603;Niveau Rue / Niveau Parking -2 / Niveau Parking -3;OK;0.0;;2012-01-01T00:00:00
ascenseur - Voie B;6f0359d6-5ba7-4a6b-96c1-8845054ccee2;45.39174, 4.2859445;Voies B et C / Passerelle;OK;0.0;;2005-06-15T00:00:00
Ascenseur - Ministère - Rue de Bercy - Salle d'échange - (5005);a6433423-9738-42fd-a125-321b28d78e8a;48.84329, 2.3750863;Plateforme d'échange RATP SNCF / Hall 3 (Consignes) / Ministère rue de Bercy;OK;0.0;;1990-01-01T00:00:00
Ascenseur - Quai 1 voie 2 (BV);fc7c61e3-3f5c-47fc-afe0-eeb07a398378;;Voie 1 / passerelle;OK;0.0;;2013-01-01T00:00:00
ascenseur - Quai 2;4798b888-7286-462c-9e48-1648683b166c;;Voies 2 et 3 / Souterrain;OK;0.0;;2019-12-31T00:00:00
ascenseur - Rive de l'orne;23fa0284-8093-4f64-af15-5ed51248821c;49.17719, -0.34874222;Sortie Rive de l'Orne / Souterrain;OK;0.0;;2014-01-01T00:00:00
ascenseur - Côté voie 1  vers souterrain;1d7a1149-ae18-4427-9f52-bda8496eb974;50.527905, 2.8053486;Voie 2 / souterrain;INCONNU;0.0;;2008-01-01T00:00:00
Ascenseur - Voies B et C/Souterrain;0054eed7-a134-4fca-b217-d65e4d2ea153;46.80626, 1.692123;Voies B et C / Voies B et C/Souterrain;OK;0.0;;2021-02-02T00:00:00
Ascenseur - Quai voie 1 Direction St Malo côté BV;be5fdc95-be23-43bd-9d1c-b21e7f9db5aa;48.416058, -1.7276165;Souterrain / Passerelle / Voie 1;OK;0.0;;2015-03-20T00:00:00
ascenseur - quai 3;c2f3e2e0-44f8-412f-aa46-9a8c60ff1622;49.108505, 6.1766276;Voies 6 et 7 / Souterrain;OK;0.0;;2008-01-01T00:00:00
ascenseur - Quai 2;8fd793ca-90b2-4602-b0c2-8c7a12395c66;45.434296, 6.0076003;Voie A et Parvis / Souterrain;OK;0.0;;2007-01-06T00:00:00
Ascenseur - Voie 2 / Passerelle;076b03f9-8bc9-4060-9826-422d49ff8626;;Voie 2 / Passerelle;KO;0.0;;2024-03-12T00:00:00
Ascenseur - Souterrain / Voies B-C;6e6aa7eb-c607-4ee7-a4af-9ca188f908db;;Voies B et C / souterrain;OK;0.0;;2019-07-01T00:00:00
ascenseur - Quai 4 accès Passerelle Départs;a67ea41d-e5f5-496c-8b90-7aa0e774fb9f;47.742065, 7.343976;Voies 6 et 7 / Passerelle;OK;0.0;;1998-01-01T00:00:00
Ascenseur - Voie 4/Souterrain;8b09091d-1683-49b0-860d-446879bc769c;;Voie 4 / souterrain;OK;0.0;;2023-04-07T00:00:00
Ascenseur - quai 1;77ce085a-bd01-4b80-9512-70953884c8a4;;Quai 1 / passerelle;OK;0.0;;2022-10-27T00:00:00
Ascenseur - Voie 2 Direction Rennes côté parking;450bae4e-6001-46f0-88b9-280d660ddf89;48.307755, -1.6746352;Voie 2 / souterrain;OK;0.0;;2013-01-01T00:00:00
ascenseur - Quai 2;576279f4-3b59-411f-85d1-fd5d8ca71064;47.24733, 6.0219655;Voies B et C / souterrain;OK;0.0;;2012-02-01T00:00:00
ascenseur - Rond  voie 1 à 3;e01debd3-2d9b-4cff-bb34-7ac5dd96ec7d;;VOIE 3 (RÉSERVÉ PRESTA PSH VIA CLÉ) / VO;INCONNU;0.0;;2001-01-01T00:00:00
ASC.PMR 3567 Voie 1;61ecde54-8a6e-440c-8999-a45d6687d9a3;;Voie B / passerelle;OK;;;
Ascenseur - Parvis côté canal;876acd6d-c67b-47fd-95ee-f2b13b33508e;;Parvis sortie métro côté canal;OK;0.0;;2020-03-01T00:00:00
ascenseur - Quai F - Paris (pas de Brest);e26021bf-541a-4e9e-8e74-66f59ce9bc60;48.10277, -1.6719018;Voie 09 et 10 Paris / souterrain;OK;0.0;;2017-08-01T00:00:00
Ascenseur - quai central voies VA et V2 n° 10981807;5cffcb20-f00d-4efe-9048-b4718c9bb87c;;Voies A et 2 / souterrain;OK;0.0;;2018-01-01T00:00:00
ascenseur - Quai 2;646c0d9f-4a44-4174-9275-47552bee3458;;Voies 2 et 2 Bis / Souterrain;OK;0.0;;2007-01-01T00:00:00
