CODE_UIC,LIBELLE,FRET,VOYAGEURS,CODE_LIGNE,RG_TRONCON,PK,COMMUNE,DEPARTEMEN,IDRESEAU,IDGAIA,X_L93,Y_L93,X_WGS84,Y_WGS84,C_GEO,Geo Point,Geo Shape,Station_Coords,Has_Bike_Parking_Within_250m,Has_Bike_Parking_Within_500m
87382218,La Défense,N,O,973000,1,008+295,PUTEAUX,HAUTS-DE-SEINE,4648,c0d4c69a-f312-11e3-90ff-015864e0362d,644164.1872999966,6866205.721500002,2.238471684534599,48.89343723770491,"48.89343723770491, 2.2384716845345993","48.89343723768303, 2.2384716845345984","{""coordinates"": [2.238471684534598, 48.89343723768303], ""type"": ""Point""}","(48.89343723768303, 2.2384716845345984)",False,False
87545210,Ste-Geneviève-des-Bois,N,O,570000,1,025+898,SAINTE-GENEVIEVE-DES-BOIS,ESSONNE,6712,c10ca50a-f312-11e3-90ff-015864e0362d,649273.4893999994,6839327.0951000005,2.311349268650718,48.652126468780416,"48.652126468780416, 2.311349268650718","48.652126468757295, 2.3113492686507175","{""coordinates"": [2.311349268650718, 48.652126468757295], ""type"": ""Point""}","(48.652126468757295, 2.3113492686507175)",True,True
87393306,Issy-Val-de-Seine,N,O,977000,1,005+710,ISSY-LES-MOULINEAUX,HAUTS-DE-SEINE,4504,d9c23322-6667-11e3-89ff-01f464e0362d,645900.4253999963,6859046.7315,2.263061548452739,48.829206272653394,"48.829206272653394, 2.263061548452739","48.82920627263119, 2.2630615484527388","{""coordinates"": [2.263061548452739, 48.82920627263119], ""type"": ""Point""}","(48.82920627263119, 2.2630615484527388)",True,True
87725457,Champlan,N,O,990000,4,102+407,CHAMPLAN,ESSONNE,10334002,de1b5c3e-cde0-11eb-b0ff-01f06fb51c27,646973.8198999986,6845703.266899999,2.279341221911651,48.709290647180765,"48.709290647180765, 2.2793412219116513","48.70929064715795, 2.279341221911651","{""coordinates"": [2.279341221911651, 48.70929064715795], ""type"": ""Point""}","(48.70929064715795, 2.279341221911651)",True,True
87681825,Villeneuve-St-Georges,N,O,830000,1,014+386,VILLENEUVE-SAINT-GEORGES,VAL-DE-MARNE,7254,e1a3d2b6-19bf-11e5-a6ff-01fc64e0362d,659281.5107000023,6848066.1644,2.446378941339316,48.73143575163359,"48.73143575163359, 2.446378941339316","48.73143575161089, 2.4463789413393155","{""coordinates"": [2.446378941339316, 48.73143575161089], ""type"": ""Point""}","(48.73143575161089, 2.4463789413393155)",True,True
87381178,Us,N,O,330000,2,039+837,US,VAL-D'OISE,7060,d9b726ee-6667-11e3-89ff-01f464e0362d,624821.3704999983,6889351.0286,1.970571442485532,49.099575309029696,"49.099575309029696, 1.9705714424855318","49.09957530900886, 1.970571442485531","{""coordinates"": [1.970571442485531, 49.09957530900886], ""type"": ""Point""}","(49.09957530900886, 1.970571442485531)",False,False
87381418,Éragny-Neuville,O,O,338000,1,029+494,ERAGNY,VAL-D'OISE,4065,29677ce0-dfbc-11e3-a2ff-01a464e0362d,633489.0270000026,6880179.843899999,2.090693441119665,49.01807541544188,"49.01807541544188, 2.090693441119665","49.01807541542063, 2.0906934411196643","{""coordinates"": [2.090693441119664, 49.01807541542063], ""type"": ""Point""}","(49.01807541542063, 2.0906934411196643)",False,False
87682401,Livry-sur-Seine,N,O,746000,1,059+711,LIVRY-SUR-SEINE,SEINE-ET-MARNE,5195,d9815c44-6667-11e3-89ff-01f464e0362d,676286.9689999968,6823395.526000001,2.678950684970236,48.51037289873945,"48.51037289873945, 2.6789506849702356","48.510372898715616, 2.678950684970235","{""coordinates"": [2.678950684970235, 48.510372898715616], ""type"": ""Point""}","(48.510372898715616, 2.678950684970235)",False,False
87681510,Buno-Gironville,N,O,745000,1,066+953,BUNO-BONNEVAUX,ESSONNE,3438,d991d8d8-6667-11e3-89ff-01f464e0362d,654603.2400000021,6807957.015500002,2.387007586562321,48.37033137332853,"48.37033137332853, 2.3870075865623206","48.370331373303955, 2.38700758656232","{""coordinates"": [2.38700758656232, 48.370331373303955], ""type"": ""Point""}","(48.370331373303955, 2.38700758656232)",True,True
87682153,Lieusaint-Moissy,O,O,830000,1,030+497,LIEUSAINT,SEINE-ET-MARNE,5163,28ef21b0-dfbc-11e3-a2ff-01a464e0362d,668271.311800003,6836717.004799999,2.569445631919197,48.62986058610392,"48.629860586103916, 2.569445631919197","48.6298605860807, 2.5694456319191965","{""coordinates"": [2.569445631919197, 48.6298605860807], ""type"": ""Point""}","(48.6298605860807, 2.5694456319191965)",True,True
